"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.1,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.45,0.05,0,0,0,1,0.18,0.02,0.2,0.9,0.12,0.1,0.424797024246571,0.0343577704691044,0.999,0.400111872807684,0.0342269968179954,0.999,0.119996961484374,0.0357047721255405,0.898,0.450053425932164,0.0389381621856208,0.999,-0.0595911165567976,0.0355963977916165,0.394,0.423752812783187,0.0385056029227129,0.999,0.117807453129723,0.0356552295887489,0.892,-0.0547619318035092,0.0352391737985272,0.362,0.0362031157936364,0.0365079968555064,0.0386484689125188,0.0416416355759988,0.036250977660457,0.0414722111075159,0.0386497461257125,0.0356608622135214,0.124797024246571,0.100111872807684,0.150053425932164,0.123752812783187,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.3,0.0333333333333333,0,0,0,1,0.18,0.02,0.2,0.9,0.18,0.1,0.481295182408456,0.0327127482315481,1,0.469265744014199,0.0332880883405954,1,0.0601611060237494,0.0335347774941443,0.45,0.586580836182149,0.0436144905888706,1,-0.172360146442115,0.0408538845682052,0.968,0.574269169891345,0.0446337523716641,1,0.0437524982025814,0.033213664465189,0.276,-0.16642327637089,0.0410795695516972,0.962,0.0340382277412082,0.034737423181622,0.0344794246041915,0.0474436829936107,0.0433566832701283,0.0488127366208102,0.0344303218040411,0.0436772777206904,0.181295182408456,0.169265744014199,0.286580836182149,0.274269169891345,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.9,0.1,0,0,0,1,0.36,0.04,0.4,0.9,0.12,0.1,0.422019126369003,0.0344024202157,0.999,0.312792948280562,0.0340866651064274,0.999,0.264235232194914,0.0356774127288251,0.998,0.447747178628879,0.038890796140139,0.999,-0.0610738919863908,0.0356772184688448,0.411,0.330907363194697,0.0372055167768014,0.999,0.260961596871054,0.0357619863842567,0.998,-0.0400003376770452,0.0341800931189469,0.218,0.0376184248091033,0.0363614788606635,0.0368785883723088,0.0432066442148209,0.0358218442305725,0.0398959601659818,0.0370611797172455,0.0343965143374688,0.122019126369003,0.0127929482805619,0.147747178628879,0.0309073631946974,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.6,0.0666666666666667,0,0,0,1,0.36,0.04,0.4,0.9,0.18,0.1,0.482398568397298,0.0333319954085544,1,0.428740642986083,0.035881392372552,1,0.133790596099001,0.0375556119461557,0.93,0.585725759932247,0.0444362091675259,1,-0.169526433975097,0.0414344022395842,0.956,0.527915915952736,0.0487042107370772,1,0.102774262781866,0.0379435889849741,0.78,-0.141836361361202,0.0422243124134618,0.903,0.0360991692105516,0.0377876991548618,0.0405602636037126,0.0526430958421102,0.0442447640277351,0.0560391852468139,0.0415024237982555,0.0447618717321011,0.182398568397298,0.128740642986083,0.285725759932247,0.227915915952736,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.9,0.1,0,0,0,1,0.54,0.06,0.6,0.9,0.18,0.1,0.481622355307768,0.0331755684447078,1,0.327642033199244,0.03981049825356,1,0.255278997302271,0.04129317409487,0.993,0.586458819571924,0.0442994782848719,1,-0.172320068295929,0.0411535607896042,0.973,0.397677125418735,0.0558260673876627,0.999,0.221240813382475,0.0455293886508271,0.983,-0.0807412374771903,0.0436602724059545,0.481,0.034654017276198,0.0409620470207862,0.0458800923285955,0.0488477159704735,0.0425733425370268,0.0594562348186687,0.0511304485838521,0.0447126069999539,0.181622355307768,0.0276420331992437,0.286458819571924,0.0976771254187346,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.85,0.15,0,0,0,1,0.17,0.03,0.2,0.85,0.06,0.15,0.365047955187813,0.0331120190040388,1,0.31077354016386,0.0318556590650685,1,0.255599925186119,0.034168383089799,0.998,0.368093044650386,0.0339227101016012,1,-0.0140011117584234,0.0333439369724355,0.057,0.318882255294875,0.0324067126944236,1,0.260432240875852,0.0344621157953736,0.998,-0.0431224602340023,0.0325092314848423,0.271,0.0334175197295486,0.0317427669116392,0.0368885998541597,0.0344828228640124,0.034054198545813,0.0322993465511416,0.03740772972334,0.0330991237588624,0.0650479551878135,0.0107735401638599,0.0680930446503862,0.018882255294875,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.425,0.075,0,0,0,1,0.17,0.03,0.2,0.85,0.12,0.15,0.423258248730422,0.0344073804419751,1,0.400422636693232,0.0343416922048792,1,0.112467003287376,0.0354091256464107,0.87,0.448414996656168,0.038937959557402,1,-0.0599822835516745,0.0359817765148918,0.387,0.42525107325886,0.0385173084111761,1,0.111932338275247,0.0354017670533579,0.869,-0.059067834715608,0.0355902915426001,0.391,0.0368427699854251,0.0369862993700516,0.0376216285564536,0.0422943209415324,0.0376694482163738,0.0420264973419086,0.037765755671307,0.0373731011291126,0.123258248730422,0.100422636693232,0.148414996656168,0.12525107325886,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.283333333333333,0.05,0,0,0,1,0.17,0.03,0.2,0.85,0.18,0.15,0.479100953579493,0.0332011971156298,1,0.468165110842156,0.0337398285980866,1,0.0545287008876333,0.0340030255903169,0.383,0.583436835097723,0.0444807956354936,0.999,-0.170974238717675,0.0415561901514024,0.955,0.572430207353241,0.0451496539668288,1,0.0413903883530895,0.0336417999976467,0.265,-0.166463691277306,0.0415704311244548,0.952,0.0349381544467092,0.0357911865540832,0.0461422692530892,0.0483340736827414,0.0436146660494271,0.0489006835095929,0.0456464430174952,0.0431555813972665,0.179100953579493,0.168165110842156,0.283436835097723,0.272430207353241,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.85,0.15,0,0,0,1,0.34,0.06,0.4,0.85,0.12,0.15,0.426476358397729,0.0343444388679776,1,0.322923365209761,0.0347877441316687,1,0.247727862249183,0.0367617472702128,0.995,0.451328242230903,0.0386692213782471,1,-0.0583926735954513,0.0356761439870771,0.369,0.3457589178089,0.0378031815614181,1,0.246411946911204,0.0367725501855757,0.995,-0.0528483463049995,0.034305495488821,0.346,0.0363754276589308,0.0360545284218278,0.0387536511700609,0.0409817848785894,0.0379318652157037,0.0384789160100939,0.03878231439792,0.0360286084904351,0.126476358397729,0.0229233652097607,0.151328242230903,0.0457589178088997,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.566666666666667,0.1,0,0,0,1,0.34,0.06,0.4,0.85,0.18,0.15,0.480424350132852,0.0334560385017863,1,0.431082412178466,0.0364458735394824,0.998,0.122119332911646,0.0376335107869935,0.899,0.583794470938109,0.0443705730351987,0.999,-0.1695135308207,0.0412905148407601,0.96,0.532230949900295,0.04867501671112,0.999,0.0958684990656961,0.03771032367334,0.736,-0.148256035580099,0.0418403952958928,0.916,0.0339784289068982,0.0360512893095995,0.0384099724104305,0.0489642898763866,0.0433358787312599,0.0526145187472956,0.0383142056323394,0.0442650426950775,0.180424350132852,0.131082412178466,0.283794470938109,0.232230949900295,"sim","HC1","t",3,1000,1000,314
