"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0,0.3,"D2",0.5,0.6,0.6,0.3,0.833333333333333,0,0,0,0,1,0.5,0,0.5,1,0.18,0,0.4814097760347,0.0329330370562752,1,0.371989150771603,0.0368434467133928,1,0.216445961687187,0.0387866459441528,0.988,0.587072056632847,0.0441611099155127,1,-0.173412386179687,0.0414321700189261,0.963,0.444566182410348,0.0536233654627677,0.999,0.179920283554932,0.0431923584711073,0.971,-0.0881942818506414,0.0451772643787176,0.502,0.0353780105101401,0.0385026926758324,0.0417910898969569,0.0503814814371974,0.0427513013836371,0.0580997495282796,0.0465242100018178,0.0462409824926094,0.1814097760347,0.0719891507716028,0.287072056632847,0.144566182410348,"sim","HC1","t",3,1000,1000,314
0.05,0.3,"D2",0.5,0.6,0.6,0.3,0.791666666666667,0.0416666666666667,0,0,0,1,0.475,0.025,0.5,0.95,0.18,0.05,0.48164362445104,0.0329064295967145,1,0.379924837177108,0.0373533003448307,1,0.201196684796551,0.0395631341409795,0.98,0.58585993949371,0.0442507328821403,1,-0.17134824389356,0.0416402132631113,0.968,0.462799603537922,0.0528637717450029,0.998,0.163609664524652,0.0424308691337726,0.948,-0.104515266655638,0.0441371634421453,0.669,0.0341137810036443,0.0386176051353261,0.0417016467048014,0.0482352043137725,0.043323452432151,0.0576875171243707,0.044938733292379,0.0465602456518392,0.18164362445104,0.0799248371771076,0.28585993949371,0.162799603537922,"sim","HC1","t",3,1000,1000,314
0.1,0.3,"D2",0.5,0.6,0.6,0.3,0.75,0.0833333333333333,0,0,0,1,0.45,0.05,0.5,0.9,0.18,0.1,0.483121932549441,0.0331786209425152,1,0.390422080870128,0.0377207297130494,1,0.183646314920729,0.0397887241864275,0.976,0.588636803552299,0.0440602868316664,1,-0.173517251883795,0.0415541907268769,0.966,0.484813899831591,0.0516916923537788,1,0.145864338667882,0.0414619719289042,0.917,-0.123422154064075,0.0431715888592572,0.809,0.0333924628562826,0.0377031949000898,0.0433670990799364,0.0465055613757299,0.04332150988868,0.0526272230797434,0.0450578741412737,0.0441529735865865,0.183121932549441,0.090422080870128,0.288636803552299,0.184813899831591,"sim","HC1","t",3,1000,1000,314
0.15,0.3,"D2",0.5,0.6,0.6,0.3,0.708333333333333,0.125,0,0,0,1,0.425,0.075,0.5,0.85,0.18,0.15,0.482235470616343,0.0332350358007345,1,0.397480294506014,0.0380574670697081,1,0.168392441312567,0.0399728701374447,0.963,0.586059525126475,0.0444367736798063,1,-0.171120739114198,0.0415394439134632,0.959,0.49549254721658,0.0512227127627457,1,0.135200478715143,0.0408643553561349,0.895,-0.133575536620955,0.042234358536578,0.867,0.0345822465996417,0.0398698687913726,0.0422716761236075,0.0487635263395009,0.0430098766967005,0.055840820747692,0.0432819833710394,0.0435946280347697,0.182235470616343,0.097480294506014,0.286059525126475,0.19549254721658,"sim","HC1","t",3,1000,1000,314
0.2,0.3,"D2",0.5,0.6,0.6,0.3,0.666666666666667,0.166666666666667,0,0,0,1,0.4,0.1,0.5,0.8,0.18,0.2,0.481533971847439,0.0332614722096354,1,0.40631101914544,0.0381054281024377,1,0.150221759524329,0.0400207074601231,0.943,0.585457828247787,0.043915628894253,1,-0.17015891380595,0.0411045766874299,0.968,0.508466896570244,0.0498429893132547,1,0.122711457809376,0.0403172252759474,0.855,-0.144461058859708,0.0412943045689558,0.92,0.0351666468533499,0.0403076387155829,0.0440354711001155,0.0491505037954555,0.0427017561232525,0.0546696959187154,0.0445570650827929,0.0420516334867851,0.181533971847439,0.10631101914544,0.285457828247787,0.208466896570244,"sim","HC1","t",3,1000,1000,314
0.25,0.3,"D2",0.5,0.6,0.6,0.3,0.625,0.208333333333333,0,0,0,1,0.375,0.125,0.5,0.75,0.18,0.25,0.481325731589248,0.0329465802533954,1,0.413275446501491,0.0377519380127523,1,0.134885523286445,0.0389184923202578,0.918,0.585928421845007,0.0436893214296942,1,-0.171774031553862,0.0409235247996892,0.976,0.518225229626307,0.0487334305784418,1,0.114244902988348,0.038904028538898,0.826,-0.155047444915987,0.0406388809081629,0.951,0.034178075065235,0.0396779959459852,0.0430228346517761,0.0473572453939963,0.0431517020715673,0.0518709587274308,0.0424010696461066,0.0423355172867258,0.181325731589248,0.113275446501491,0.285928421845007,0.218225229626307,"sim","HC1","t",3,1000,1000,314
0.3,0.3,"D2",0.5,0.6,0.6,0.3,0.583333333333333,0.25,0,0,0,1,0.35,0.15,0.5,0.7,0.18,0.3,0.481493620518511,0.0332820580967797,1,0.42275412633724,0.0384037085127668,1,0.116979030600913,0.0391780029461748,0.844,0.585441838243377,0.0443776296924428,1,-0.170822061187608,0.041413279235988,0.961,0.527837399239187,0.0489274182028066,1,0.104885331741765,0.039070806500784,0.785,-0.162573968139543,0.0408047789101104,0.961,0.0336995423956382,0.0399996367156721,0.0423122842318118,0.0488961057370789,0.0452267007233907,0.0541282960718956,0.0424165383454959,0.0440443804797635,0.181493620518511,0.12275412633724,0.285441838243377,0.227837399239187,"sim","HC1","t",3,1000,1000,314
0.35,0.3,"D2",0.5,0.6,0.6,0.3,0.541666666666667,0.291666666666667,0,0,0,1,0.325,0.175,0.5,0.65,0.18,0.35,0.479453318581087,0.0336238552919006,1,0.428329760945418,0.038653333709074,1,0.101692908333035,0.0388135875512687,0.748,0.583887836635947,0.044411747339552,1,-0.171752861465446,0.0416486614388011,0.966,0.533374332092459,0.0483302217155101,1,0.0987898379671728,0.038844482874326,0.722,-0.170362898025147,0.040880452999889,0.973,0.0349625958156438,0.0394124425266575,0.040040304083738,0.0488514502175782,0.0439883495417993,0.0513629448525969,0.0404030553531472,0.0425832870681938,0.179453318581087,0.128329760945418,0.283887836635947,0.233374332092459,"sim","HC1","t",3,1000,1000,314
0.4,0.3,"D2",0.5,0.6,0.6,0.3,0.5,0.333333333333333,0,0,0,1,0.3,0.2,0.5,0.6,0.18,0.4,0.481087141910748,0.033132978691159,1,0.440099305224306,0.0381204008713566,0.999,0.0819248055068893,0.0381830604743287,0.571,0.584335584663812,0.0442573832652849,0.998,-0.169696338235607,0.0417866298022351,0.961,0.54243895527178,0.0476068935356602,0.998,0.0888249873176039,0.0384768337120112,0.642,-0.174024342090828,0.0410600142100493,0.974,0.0361988773646964,0.0420884533786548,0.0409336466383581,0.0508953674298605,0.0448586766537398,0.0553502840717088,0.0412336193628708,0.0435947555369645,0.181087141910748,0.140099305224306,0.284335584663812,0.24243895527178,"sim","HC1","t",3,1000,1000,314
0.45,0.3,"D2",0.5,0.6,0.6,0.3,0.458333333333333,0.375,0,0,0,1,0.275,0.225,0.5,0.55,0.18,0.45,0.47974610949407,0.0330700240730731,1,0.446299254104263,0.0381926484363628,0.999,0.0666667720641246,0.0378443497306989,0.446,0.586552008174597,0.0437371629066316,1,-0.175036637169075,0.0409831436021628,0.971,0.549660830178113,0.046623304528292,1,0.0853235844091242,0.0384489750673448,0.628,-0.184999340381543,0.0405162316217614,0.983,0.0334123084372722,0.0395301572243786,0.0413697676116561,0.0472462282232477,0.044815179107955,0.0503914978725743,0.0424874656773078,0.0436542682412961,0.17974610949407,0.146299254104263,0.286552008174597,0.249660830178113,"sim","HC1","t",3,1000,1000,314
