"a1","rho_total","reason"
0.25,0.95,"D2 grid is empty: try increasing a1/a2 or decreasing |rho_total|."
0.35,0.95,"D2 grid is empty: try increasing a1/a2 or decreasing |rho_total|."
0.45,0.95,"D2 grid is empty: try increasing a1/a2 or decreasing |rho_total|."
