"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","a2_rule","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.85,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.15,0.85,0,0,1,0.15,0.15,0.2,0.2,0.5,0.03,0.17,0.2,0.15,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.85,"a2_equal_a1",0.363085708248233,0.0337870208626818,1,0.355751027653787,0.034522663918679,1,0.035525467710796,0.0337836704276695,0.194,0.365777148440779,0.0345362931691728,1,-0.0123728847197707,0.0337515872700914,0.064,0.360470092825708,0.0345053259622188,1,0.159430210257567,0.0627435590779822,0.707,-0.14668133703236,0.0626514685934774,0.654,0.034086540792892,0.0346026870038246,0.0346506037310268,0.0343515768173909,0.0339180733615778,0.0344096313871703,0.0644720187540835,0.063201588178649,0.0630857082482335,0.0557510276537871,0.0657771484407786,0.060470092825708,"sim","classical","norm",NA,1000,1000,314
0.9,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.1,0.9,0,0,1,0.15,0.15,0.2,0.2,0.5,0.02,0.18,0.2,0.1,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.9,"a2_equal_a1",0.363866486682836,0.0338217620436099,1,0.359976188104297,0.0345559175445744,1,0.0189732115516717,0.0337621923538659,0.095,0.366412373854051,0.0345597725321067,1,-0.0119440065866775,0.0337704462841527,0.056,0.363159732992723,0.0345476795897009,1,0.149571968159212,0.075733510209012,0.501,-0.145903475892683,0.0757437830298129,0.495,0.03439629004057,0.0351251277271065,0.0347105619348961,0.0352734956442049,0.0333780930215811,0.03526094062957,0.0779200507005211,0.0750014351366825,0.0638664866828362,0.0599761881042967,0.0664123738540507,0.0631597329927231,"sim","classical","norm",NA,1000,1000,314
0.95,0.3,"D2_varyA1Rho_WithX",0.2,0.2,0.2,0,0.3,0.0499999999999999,0.95,0,0,1,0.15,0.15,0.2,0.2,0.5,0.00999999999999999,0.19,0.2,0.0499999999999999,0.06,0.955,0.06282722513089,0.915,0.0655737704918033,0.95,"a2_equal_a1",0.362639523822553,0.0337433769208183,1,0.362097226910478,0.0344930500109816,1,0.00253096733931261,0.0337365716906716,0.0429999999999999,0.365375970688935,0.0344869972296735,1,-0.013113428942117,0.0337315449878345,0.064,0.363671195309954,0.0344918989046166,1,0.147416845365051,0.105818727226536,0.289,-0.152801814068617,0.105811716988171,0.317,0.0338183462278375,0.0342755376168365,0.0325954706364137,0.0343141956579751,0.0329147578144858,0.0342978514687295,0.107318292119467,0.108248915279626,0.0626395238225531,0.062097226910478,0.0653759706889346,0.0636711953099542,"sim","classical","norm",NA,1000,1000,314
0,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.5,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.2,0,0.2,1,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0,"a2_equal_a1",0.425963919408631,0.0335954691983744,1,0.398488835947069,0.0340861590920552,1,0.130508074761256,0.0333365977384468,0.974,0.451898207714352,0.0367776341698192,1,-0.0619685279468827,0.035973722196377,0.405,0.420061500461043,0.0374962377484255,1,0.126254707807299,0.0334660297665524,0.965,-0.0494224077011998,0.0358940609612252,0.289,0.0345529586896948,0.0348146312152662,0.0322371641182207,0.0374008707262268,0.036701685168725,0.0379006267639885,0.0324275405291363,0.0367431273823026,0.125963919408631,0.0984888359470688,0.151898207714352,0.120061500461043,"sim","classical","norm",NA,1000,1000,314
0.05,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.475,0.025,0,0,1,0.15,0.15,0.2,0.2,0.5,0.19,0.01,0.2,0.95,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.05,"a2_equal_a1",0.425231540283636,0.0336417176887615,1,0.399936175907513,0.0341421178139106,1,0.121963417470612,0.0333690602347898,0.948,0.450062130900724,0.0368519250719141,1,-0.0592926385959051,0.0360420581760587,0.372,0.421838007313535,0.0374836274748286,1,0.118825759052749,0.0334250621943602,0.936,-0.0507717211961636,0.0359088113851925,0.297,0.0340119666608417,0.0346981762211609,0.0345671811710748,0.0365941346194867,0.0347678673812962,0.0373729311076989,0.0344961872468021,0.0345617494135544,0.125231540283636,0.0999361759075131,0.150062130900724,0.121838007313535,"sim","classical","norm",NA,1000,1000,314
0.1,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.45,0.05,0,0,1,0.15,0.15,0.2,0.2,0.5,0.18,0.02,0.2,0.9,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.1,"a2_equal_a1",0.426245456177597,0.0336270324717054,1,0.402094337158177,0.0341837732998757,1,0.114316358426333,0.0333697544787705,0.914,0.45041562506005,0.0368052620455768,1,-0.0579745485346975,0.0359966779143054,0.375,0.424659815540226,0.0374071136289609,1,0.112420205495501,0.0333766596514752,0.909,-0.0531582514861659,0.0358410502964232,0.327,0.0339845548121748,0.0341856274168889,0.0335123968278234,0.0374063167812751,0.035975398929014,0.0377263108291312,0.0335133648111603,0.0360834029656268,0.126245456177597,0.102094337158177,0.15041562506005,0.124659815540226,"sim","classical","norm",NA,1000,1000,314
0.15,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.425,0.075,0,0,1,0.15,0.15,0.2,0.2,0.5,0.17,0.03,0.2,0.85,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.15,"a2_equal_a1",0.427654177301013,0.0336130605155837,1,0.405369031523705,0.0342036843567615,1,0.105230974947827,0.0333907023502056,0.881,0.452491091498039,0.0367892133299685,1,-0.0593734186281267,0.0359694837629082,0.367,0.429876754826841,0.0373310699152748,1,0.104670771556052,0.0333653187416485,0.883,-0.058304610421783,0.0358132498266377,0.357,0.0336022858210118,0.0338211226392367,0.032278745853357,0.0363624170379028,0.0350074051486041,0.0366479573956801,0.032251429352268,0.034683765692606,0.127654177301013,0.105369031523705,0.152491091498039,0.129876754826841,"sim","classical","norm",NA,1000,1000,314
0.2,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.4,0.1,0,0,1,0.15,0.15,0.2,0.2,0.5,0.16,0.04,0.2,0.8,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.2,"a2_equal_a1",0.426362099601755,0.0336618714273333,1,0.405929889246056,0.0342536167311594,1,0.097984580673066,0.0334721705070087,0.846,0.450535675772528,0.036852852302479,1,-0.0576195143195727,0.0359945226446221,0.361,0.430737254826085,0.0373144099724945,1,0.0990638553179674,0.0334479735559433,0.855,-0.0596614408116344,0.0358623659894822,0.388,0.0334021364116288,0.0337161998613723,0.0323983700061258,0.0368957488365779,0.0365130070131379,0.0370074088962097,0.032439860030893,0.036494856952765,0.126362099601755,0.105929889246056,0.150535675772528,0.130737254826085,"sim","classical","norm",NA,1000,1000,314
0.25,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.375,0.125,0,0,1,0.15,0.15,0.2,0.2,0.5,0.15,0.05,0.2,0.75,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.25,"a2_equal_a1",0.425204373961337,0.0336515085360223,1,0.40625982859439,0.0342693289458493,1,0.0907815294522869,0.033433163162983,0.762,0.450188739777329,0.0368300672762116,1,-0.0599142963940149,0.0359890162141981,0.398,0.432521404330174,0.0372494763792373,1,0.0934743560849934,0.0334292095635174,0.787,-0.0643268873790488,0.0359011493977711,0.456,0.0322339096946352,0.0326400214319836,0.0338396476179428,0.0360380884874781,0.035540173387191,0.0362549915122019,0.0337594985847847,0.0355566458396072,0.125204373961337,0.10625982859439,0.150188739777329,0.132521404330174,"sim","classical","norm",NA,1000,1000,314
0.3,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.35,0.15,0,0,1,0.15,0.15,0.2,0.2,0.5,0.14,0.06,0.2,0.7,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.3,"a2_equal_a1",0.422899168141032,0.0336035041842047,1,0.4057268526059,0.0342422555906374,1,0.0821081499286096,0.0335052323936527,0.685,0.447676967560951,0.0367988766660275,1,-0.0591393206566122,0.0359917664485701,0.372,0.43242442129981,0.0371658227779423,1,0.0866416111646704,0.0335569685662334,0.722,-0.0659748043922624,0.0359881956422497,0.445,0.0339937393200937,0.0345093442707402,0.0336606074667823,0.0376111530953053,0.0361926099390372,0.0379847151242372,0.033518208184741,0.0359868891087294,0.122899168141032,0.1057268526059,0.147676967560951,0.132424421299811,"sim","classical","norm",NA,1000,1000,314
0.35,0.3,"D2_varyA1Rho_WithX",0.2,0.4,0.4,0,0.3,0.325,0.175,0,0,1,0.15,0.15,0.2,0.2,0.5,0.13,0.07,0.2,0.65,0.12,0.955,0.12565445026178,0.795,0.150943396226415,0.35,"a2_equal_a1",0.427124665315402,0.0336015520529987,1,0.411259499305959,0.034260146564477,1,0.0752208018577515,0.0334834265370667,0.609,0.45301211557275,0.0367970630607226,1,-0.0617698232469058,0.0359600530512209,0.409,0.43953774136095,0.0371131445187253,1,0.0820662666069267,0.0336157218622843,0.678,-0.070881063511504,0.0360634072290044,0.506,0.0335125664946914,0.0340714118775517,0.0335967960722399,0.0369433225503374,0.0356528812367803,0.0372521702412596,0.033665262707371,0.0357258753645396,0.127124665315402,0.111259499305959,0.15301211557275,0.13953774136095,"sim","classical","norm",NA,1000,1000,314
