"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.1,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.9,0.1,0,0,0,1,0.36,0.04,0.4,0.9,0.12,0.1,0.422019126369003,0.0328699793893781,1,0.312792948280562,0.0350488306830164,1,0.264235232194914,0.034600825116543,1,0.447747178628879,0.0359762202982416,1,-0.0610738919863908,0.0354667122104536,0.425,0.330907363194697,0.0383566667993278,0.999,0.260961596871054,0.0347226796954413,1,-0.0400003376770452,0.0346356429928902,0.203,0.0376184248091033,0.0363614788606635,0.0368785883723088,0.0432066442148209,0.0358218442305725,0.0398959601659818,0.0370611797172455,0.0343965143374688,0.122019126369003,0.0127929482805619,0.147747178628879,0.0309073631946974,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.6,0.0666666666666667,0,0,0,1,0.36,0.04,0.4,0.9,0.18,0.1,0.482398568397298,0.0321211848101192,1,0.428740642986083,0.0349551734914575,1,0.133790596099001,0.0353610408149039,0.95,0.585725759932247,0.0399045688592313,1,-0.169526433975097,0.0397793921794344,0.971,0.527915915952736,0.0448622885476392,1,0.102774262781866,0.0362915252407788,0.796,-0.141836361361202,0.0408966098962965,0.914,0.0360991692105516,0.0377876991548618,0.0405602636037126,0.0526430958421102,0.0442447640277351,0.0560391852468139,0.0415024237982555,0.0447618717321011,0.182398568397298,0.128740642986083,0.285725759932247,0.227915915952736,"sim","classical","t",3,1000,1000,314
0.1,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.9,0.1,0,0,0,1,0.54,0.06,0.6,0.9,0.18,0.1,0.481622355307768,0.0322069613522602,1,0.327642033199244,0.0395970660482323,1,0.255278997302271,0.039509067489334,0.999,0.586458819571924,0.0400215359432132,1,-0.172320068295929,0.0398618255460245,0.985,0.397677125418735,0.0544953299660328,1,0.221240813382475,0.0435319538591281,0.994,-0.0807412374771903,0.0434130060750339,0.474,0.034654017276198,0.0409620470207862,0.0458800923285955,0.0488477159704735,0.0425733425370268,0.0594562348186687,0.0511304485838521,0.0447126069999539,0.181622355307768,0.0276420331992437,0.286458819571924,0.0976771254187346,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.85,0.15,0,0,0,1,0.17,0.03,0.2,0.85,0.06,0.15,0.365047955187813,0.0334408205867162,1,0.31077354016386,0.0331972382176935,1,0.255599925186119,0.0325599895807895,1,0.368093044650386,0.0341976826887218,1,-0.0140011117584234,0.033419293556662,0.063,0.318882255294875,0.0337487166162388,1,0.260432240875852,0.0327546839032762,1,-0.0431224602340023,0.032617391795312,0.262,0.0334175197295486,0.0317427669116392,0.0368885998541597,0.0344828228640124,0.034054198545813,0.0322993465511416,0.03740772972334,0.0330991237588624,0.0650479551878135,0.0107735401638599,0.0680930446503862,0.018882255294875,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.425,0.075,0,0,0,1,0.17,0.03,0.2,0.85,0.12,0.15,0.423258248730422,0.0327105327236122,1,0.400422636693232,0.0332698966851128,1,0.112467003287376,0.0336174257432431,0.908,0.448414996656168,0.0357864277402892,1,-0.0599822835516745,0.0353734945445879,0.401,0.42525107325886,0.0363004250908267,1,0.111932338275247,0.0335894348408997,0.902,-0.059067834715608,0.0351994372386222,0.391,0.0368427699854251,0.0369862993700516,0.0376216285564536,0.0422943209415324,0.0376694482163738,0.0420264973419086,0.037765755671307,0.0373731011291126,0.123258248730422,0.100422636693232,0.148414996656168,0.12525107325886,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.283333333333333,0.05,0,0,0,1,0.17,0.03,0.2,0.85,0.18,0.15,0.479100953579493,0.0321487801589175,1,0.468165110842156,0.0328327159901854,1,0.0545287008876333,0.0335878491188012,0.357,0.583436835097723,0.0399877093091752,1,-0.170974238717675,0.0398871833432528,0.97,0.572430207353241,0.0409922116287443,1,0.0413903883530895,0.0334644871625734,0.24,-0.166463691277306,0.0400515370997323,0.965,0.0349381544467092,0.0357911865540832,0.0461422692530892,0.0483340736827414,0.0436146660494271,0.0489006835095929,0.0456464430174952,0.0431555813972665,0.179100953579493,0.168165110842156,0.283436835097723,0.272430207353241,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.85,0.15,0,0,0,1,0.34,0.06,0.4,0.85,0.12,0.15,0.426476358397729,0.03305169717414,1,0.322923365209761,0.0354318686208604,1,0.247727862249183,0.0348797578382772,0.998,0.451328242230903,0.0362225743326485,1,-0.0583926735954513,0.0355378099103502,0.368,0.3457589178089,0.0384298173688166,1,0.246411946911204,0.034874354776234,0.998,-0.0528483463049995,0.0347072256756624,0.328,0.0363754276589308,0.0360545284218278,0.0387536511700609,0.0409817848785894,0.0379318652157037,0.0384789160100939,0.03878231439792,0.0360286084904351,0.126476358397729,0.0229233652097607,0.151328242230903,0.0457589178088997,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.566666666666667,0.1,0,0,0,1,0.34,0.06,0.4,0.85,0.18,0.15,0.480424350132852,0.0321536953224017,1,0.431082412178466,0.0350707547617122,1,0.122119332911646,0.0354475436229335,0.919,0.583794470938109,0.0400213115918248,1,-0.1695135308207,0.039855534399313,0.975,0.532230949900295,0.0444294693997446,0.999,0.0958684990656961,0.0359622200119676,0.78,-0.148256035580099,0.0405541491414769,0.938,0.0339784289068982,0.0360512893095995,0.0384099724104305,0.0489642898763866,0.0433358787312599,0.0526145187472956,0.0383142056323394,0.0442650426950775,0.180424350132852,0.131082412178466,0.283794470938109,0.232230949900295,"sim","classical","t",3,1000,1000,314
0.15,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.85,0.15,0,0,0,1,0.51,0.09,0.6,0.85,0.18,0.15,0.481000983302561,0.0322323655420333,1,0.339881687596693,0.0398702639959543,1,0.23326722777018,0.0397995504507407,1,0.585593823419981,0.0400797713905938,1,-0.171762455154164,0.0399791282216098,0.974,0.426699132693792,0.0525414498666972,1,0.197026387870189,0.042260402244998,0.992,-0.106060995848816,0.0421116083452121,0.699,0.0353649482545396,0.0427915448309447,0.0442896161745254,0.0498491565170966,0.0436610692649751,0.0596031567417588,0.0471106176462932,0.0444072886825012,0.181000983302561,0.0398816875966931,0.285593823419981,0.126699132693792,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.8,0.2,0,0,0,1,0.16,0.04,0.2,0.8,0.06,0.2,0.362705983006904,0.0332483285442711,1,0.312216336215261,0.0331004678907542,1,0.241125666879877,0.0325752101315521,1,0.365492741282079,0.0339874714044337,1,-0.0126153869977181,0.0333373405283096,0.059,0.321640026650833,0.0335682962048788,1,0.250064496743826,0.0330010705283203,1,-0.0536798133473986,0.0328760341339119,0.377,0.0357644132233661,0.0342345959809792,0.0360232144795123,0.0370445015227869,0.0328158175574168,0.0350671621024369,0.0370558671876886,0.0325176091131099,0.0627059830069039,0.0122163362152614,0.0654927412820792,0.0216400266508325,"sim","classical","t",3,1000,1000,314
