"a1","a2","c1","c2","b1","b2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","rho_target","bias_target","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.5,0.5,0.1,0.3,0.1,0.3,0,0,0,1,0.05,0.15,0.2,0.25,0.05,0.2,0.05,"D1_FixRhoFixBias",0.348760950538317,0.0318068080386332,1,0.348567231002737,0.0324815508295212,1,0.000939818196167555,0.0324475449682904,0.053,0.36530024918786,0.036737968708076,1,-0.0330265985435986,0.0367107060658725,0.146,0.364704065741099,0.0368242178969328,1,0.00825988997415614,0.033386474837649,0.063,-0.0351745988404128,0.0377882567912738,0.155,0.0308065506330721,0.0318571942674023,0.0328096988112437,0.0358474451665868,0.0371951022281981,0.0359884578105978,0.0336544637872247,0.0382069950940049,0.0487609505383166,0.0485672310027366,0.0653002491878605,0.064704065741099,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.3,0.2,0.3,0,0,0,1,0.05,0.15,0.2,0.25,0.1,0.2,0.1,"D1_FixRhoFixBias",0.399805157550725,0.0321321727146599,1,0.399811114537192,0.0328052588077556,1,-8.61543154286007e-05,0.032858176002135,0.0539999999999999,0.433037712981731,0.0370163070083789,1,-0.0667375871834233,0.0370392233451736,0.45,0.432080407074888,0.0370994922749142,1,0.0145893888920143,0.0337604530921683,0.0740000000000001,-0.0706507506188096,0.0381187324258366,0.467,0.0314586531170942,0.0319060491017529,0.0324298479540625,0.0365830270063133,0.0371660194829084,0.0365510483683034,0.0336434225112838,0.0385445148472598,0.0998051575507251,0.0998111145371915,0.133037712981731,0.132080407074888,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.3,0.3,0.3,0,0,0,1,0.05,0.15,0.2,0.25,0.15,0.2,0.15,"D1_FixRhoFixBias",0.450138838946424,0.0326578034026733,1,0.450409172792906,0.0333416062564771,1,-0.00136132384775422,0.0333508826531596,0.0539999999999999,0.500507797234366,0.0375832352009193,1,-0.100862024101598,0.0375890375035276,0.769,0.499146781723949,0.0376627392719543,1,0.0208935525144079,0.0342117694008814,0.094,-0.106482008874208,0.0386979628512288,0.782,0.0335603330456307,0.0345991776888246,0.0325158093417141,0.0380482743512515,0.0364519301039006,0.0381911926774831,0.0337203416009319,0.0378475048049539,0.150138838946424,0.150409172792906,0.200507797234366,0.199146781723949,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.3,0.4,0.3,0,0,0,1,0.05,0.15,0.2,0.25,0.2,0.2,0.2,"D1_FixRhoFixBias",0.498680435271556,0.0334831532150219,1,0.498897916118933,0.0341805869826278,1,-0.000700407209457184,0.0341935018553688,0.058,0.564659473310263,0.0384475035723837,1,-0.131947665938443,0.0384396220656074,0.927,0.562871664664992,0.0385223689752479,1,0.0282265673621727,0.0349782919970017,0.135,-0.139443634831352,0.0395518036769433,0.945,0.033476265573009,0.0341030753669726,0.0354752440091443,0.0367508193415265,0.0383522548494555,0.0369953809427892,0.0358325546620399,0.0387677124551313,0.198680435271556,0.198897916118933,0.264659473310263,0.262871664664992,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.3,0.5,0.3,0,0,0,1,0.05,0.15,0.2,0.25,0.25,0.2,0.25,"D1_FixRhoFixBias",0.551054474727334,0.0345354895628477,1,0.55085114943013,0.0352710269153395,1,0.000925093974750539,0.0352510910783522,0.0569999999999999,0.634517915065885,0.0395808368900275,1,-0.166597344088767,0.0395832905615797,0.99,0.631967821975408,0.039650208040108,1,0.037914793589444,0.0359631735854275,0.183,-0.176774616853238,0.0407390668886877,0.995,0.0335126272700309,0.0343621683298841,0.0357607107552812,0.0381103123414351,0.0388045097232915,0.0383254313092027,0.0364700582649523,0.0398596370144383,0.251054474727334,0.25085114943013,0.334517915065885,0.331967821975408,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.7,0.1,0.3,0,0,0,1,0.05,0.35,0.4,0.125,0.05,0.4,0.05,"D1_FixRhoFixBias",0.350746838832039,0.0317239154446918,1,0.355764448149359,0.0346373372644415,1,-0.0124239836319062,0.0347215903558841,0.0590000000000004,0.3676471284614,0.0366404150639209,1,-0.033897217228539,0.0366987628575829,0.155,0.366832819962308,0.0367807364178759,1,0.0128016689645922,0.0446974825202774,0.0489999999999999,-0.0424484503301204,0.0472614137677781,0.146,0.0316431480742811,0.0348569004667221,0.0336102627667918,0.0366113901685682,0.0361153030525636,0.0367832505438947,0.0434188477372523,0.0466105765181645,0.0507468388320386,0.0557644481493587,0.0676471284614,0.0668328199623077,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.7,0.2,0.3,0,0,0,1,0.05,0.35,0.4,0.125,0.1,0.4,0.1,"D1_FixRhoFixBias",0.399256852821547,0.0321320526260665,1,0.408589765281179,0.035055437385114,1,-0.0234800235500143,0.0350954187745561,0.095,0.43254368115464,0.0370576094757304,1,-0.0666577344813901,0.0370951045537328,0.434,0.430710991810366,0.0371915021185375,1,0.026690705289032,0.0450921931577609,0.088,-0.0844064303565856,0.0477274569110307,0.428,0.031931567197411,0.0352461449653736,0.0347666135384134,0.0376008829080149,0.0367126584453431,0.037773587301919,0.044520569298689,0.0471547096232035,0.0992568528215467,0.108589765281179,0.13254368115464,0.130710991810366,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.7,0.3,0.3,0,0,0,1,0.05,0.35,0.4,0.125,0.15,0.4,0.15,"D1_FixRhoFixBias",0.449815756272726,0.0327486891643244,1,0.464089745208813,0.0357157362787692,1,-0.0357358424232766,0.0356879228774709,0.176,0.499608239770627,0.0377027899744837,1,-0.0995696087212124,0.0376837533139041,0.759,0.497016455610333,0.0378282310273301,1,0.0387140478730988,0.0457871481526358,0.13,-0.125306369128311,0.04849070922043,0.735,0.0318891508509765,0.0354739042236096,0.0365142137392048,0.0368272844373832,0.0374792133412121,0.0371419665121967,0.0462339691362211,0.0476255454651026,0.149815756272726,0.164089745208813,0.199608239770627,0.197016455610333,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.7,0.4,0.3,0,0,0,1,0.05,0.35,0.4,0.125,0.2,0.4,0.2,"D1_FixRhoFixBias",0.49772187323332,0.0335154081506126,1,0.517145589633435,0.0365682883887447,1,-0.0484528088326696,0.0365599983539876,0.267,0.566030183977372,0.0384952046937499,1,-0.136559079324725,0.0385163339969658,0.946,0.562310182005442,0.0386159305314752,1,0.0543637267511247,0.0468075157078844,0.211,-0.172792780121685,0.0495765864971222,0.931,0.033847137615763,0.0360998212733215,0.0366749371966256,0.0370114567564313,0.0375914623353049,0.037338211845402,0.0474234208605706,0.0489227056602907,0.19772187323332,0.217145589633435,0.266030183977372,0.262310182005442,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.1,0.7,0.5,0.3,0,0,0,1,0.05,0.35,0.4,0.125,0.25,0.4,0.25,"D1_FixRhoFixBias",0.549393159365511,0.0345481160306165,1,0.573180808620209,0.037650204921084,1,-0.0596008811087485,0.0376128013784795,0.356,0.632760638823783,0.0395219852699729,1,-0.167231841306882,0.0395155081159602,0.983,0.628303615393992,0.039635131070697,1,0.0663505128166822,0.0480402484880522,0.284,-0.211514448701258,0.0508594377613233,0.977,0.0342012797336175,0.0370564580985833,0.0364161959180791,0.0396400050306287,0.038894686109213,0.039687239072319,0.0478120939101278,0.051236710577483,0.249393159365511,0.273180808620209,0.332760638823783,0.328303615393992,"sim","classical","norm",NA,1000,1000,314
