"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.25,0.1,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.125,"NoV",0.431622742448762,0.0382696900240331,1,0.430428585743658,0.0381891595906451,1,0.0479704258032599,0.0357509854376347,0.295,0.431615166960264,0.0382753457581685,1,0.001445219741772,0.0346224709640751,0.049,0.430419706769659,0.038194751280598,1,0.0479288626256966,0.0357676687514105,0.291,0.00137088765109687,0.034601059520289,0.051,0.0418833906846215,0.0418257841826134,0.0394163342466097,0.0418878085492124,0.0347042339382763,0.0418312012735806,0.0394364478440175,0.0346364601754836,0.131622742448762,0.130428585743658,0.131615166960264,0.130419706769659,"sim","HC1","t",3,1000,1000,314
0.25,0.3,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.125,"NoV",0.432440623128296,0.0385363404761207,1,0.420652923474153,0.0377008904333936,1,0.148967166612726,0.0386201574732258,0.949,0.432414229857701,0.0385484816662028,1,-0.000317444178514666,0.0347661913479913,0.05,0.42062380839955,0.0377139447185587,1,0.149017291001985,0.0386543128981883,0.95,-6.00438908247121e-05,0.0344844095755222,0.0500000000000001,0.0416180431672837,0.0401025790877695,0.0430087004979302,0.0416025836431071,0.0356332335649137,0.0400896034833446,0.043010889714595,0.0355138467202575,0.132440623128296,0.120652923474153,0.132414229857701,0.12062380839955,"sim","HC1","t",3,1000,1000,314
0.25,0.5,0.5,0.3,0,0,0,0,0,1,0.125,0,0.125,1,0.125,"NoV",0.434751296944804,0.0383343404390155,1,0.401418485330346,0.0364746275389334,1,0.248443504338561,0.042756668284975,0.989,0.434790253602685,0.0383539527720118,1,0.00204045499775869,0.0346620984743035,0.059,0.401435234899653,0.0364968745689474,1,0.248472621078564,0.0427620380673388,0.99,0.00234636350789246,0.0338096942729645,0.062,0.0412286914625585,0.0382391606801557,0.0487473065331439,0.0412355422859093,0.036995495935078,0.0382495465681256,0.0487334571725576,0.036306084764746,0.134751296944804,0.101418485330346,0.134790253602685,0.101435234899653,"sim","HC1","t",3,1000,1000,314
0.25,0.7,0.5,0.3,0,0,0,0,0,1,0.175,0,0.175,1,0.125,"NoV",0.433144330217986,0.0383414580238092,1,0.36874343366632,0.0349397708242974,1,0.347204336506445,0.0422483312549869,0.993,0.433160045651539,0.0383530262677073,1,-0.000263648802931476,0.0341965308246796,0.0440000000000001,0.368782931258429,0.034952913524586,1,0.347219416622864,0.0422523460416683,0.993,-0.00025118405198005,0.032489105779906,0.05,0.0420783774532774,0.0367690114720535,0.0483299251199176,0.0421190518409067,0.034634871574353,0.0368056180440883,0.0483602997273081,0.0330817530160584,0.133144330217986,0.0687434336663198,0.133160045651539,0.0687829312584291,"sim","HC1","t",3,1000,1000,314
0.25,0.9,0.5,0.3,0,0,0,0,0,1,0.225,0,0.225,1,0.125,"NoV",0.430627125687806,0.0387213337437189,0.999,0.325619499417672,0.0332043156245479,0.998,0.446015592183189,0.0364550785060312,0.997,0.43061303914439,0.0387387604968539,0.999,0.000322210149403076,0.0344740399257249,0.04,0.32560210323459,0.0332212661047052,0.998,0.446019009511404,0.0364667845521012,0.997,0.000559898619712449,0.0316011135235455,0.049,0.0416336781133787,0.0348210344086763,0.0412262117002567,0.0416606225021826,0.0345728573423983,0.0348367407104447,0.041194597029005,0.0319801418971249,0.130627125687806,0.0256194994176723,0.13061303914439,0.0256021032345903,"sim","HC1","t",3,1000,1000,314
0.3,0.1,0.5,0.3,0,0,0,0,0,1,0.03,0,0.03,1,0.15,"NoV",0.457848538535837,0.0394496256113398,1,0.456310895532074,0.0393676018884808,1,0.0486945851933964,0.0345192616851602,0.315,0.457798238538593,0.0394679582504424,1,-0.000397437108103872,0.0343478942208895,0.055,0.456259288383604,0.0393863749074654,1,0.0487002431910155,0.0345383494706242,0.313,-0.000423048262410055,0.0343353884267315,0.058,0.0429314363993212,0.0427964068327857,0.0366071430211919,0.0429607618230348,0.0355900627658243,0.0428202226013508,0.0365877080947658,0.0355528899603447,0.157848538535837,0.156310895532074,0.157798238538593,0.156259288383604,"sim","HC1","t",3,1000,1000,314
0.3,0.3,0.5,0.3,0,0,0,0,0,1,0.09,0,0.09,1,0.15,"NoV",0.458121143739259,0.0401281431311932,1,0.444580533232954,0.0393229952645388,1,0.143252991664879,0.0392612885745746,0.937,0.458091376928136,0.0401309448622797,1,-0.000257027767634618,0.0345744359899664,0.0539999999999999,0.444545048150279,0.0393240199140317,1,0.143260644409025,0.0392743811856535,0.937,-0.000255771659547409,0.0342989605750609,0.0580000000000001,0.0446921990101952,0.0439743022715215,0.0451884035296163,0.0447269080272598,0.0347839574148428,0.0439974828848836,0.0451148692955243,0.0344462482367489,0.158121143739259,0.144580533232954,0.158091376928136,0.144545048150279,"sim","HC1","t",3,1000,1000,314
0.3,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0,0.15,1,0.15,"NoV",0.458683853923683,0.0397717628361808,1,0.419924596868382,0.0375360642514008,1,0.244654964264269,0.042348076202174,0.982,0.458746663554652,0.0397950048627928,1,-0.000730095727808249,0.0344794225679293,0.0370000000000001,0.419972935649219,0.0375618642436207,1,0.244703172197548,0.042363161563099,0.983,-0.000916174184873482,0.033672626685024,0.04,0.0442836112150188,0.0411732089752661,0.0513398475781484,0.0442960556019686,0.0338732849209475,0.041193434444808,0.0513582077529597,0.0333741397959245,0.158683853923683,0.119924596868382,0.158746663554652,0.119972935649219,"sim","HC1","t",3,1000,1000,314
0.3,0.7,0.5,0.3,0,0,0,0,0,1,0.21,0,0.21,1,0.15,"NoV",0.455171967544131,0.0399366907216759,1,0.380466806352396,0.0358062650936076,1,0.340733818513967,0.0436701564631219,0.991,0.455127242671615,0.0399442007342812,1,-0.000847125641095327,0.0344907992944626,0.056,0.380418699791988,0.0358169868693562,1,0.340748444057611,0.0436856928192157,0.991,-0.000974986111203469,0.0328418310853991,0.058,0.0434021644876178,0.0378960531742008,0.0562260832456312,0.043413393634868,0.0355443605084875,0.0379064264464331,0.0562182713411118,0.0340498822809969,0.155171967544131,0.0804668063523962,0.155127242671615,0.0804186997919879,"sim","HC1","t",3,1000,1000,314
0.3,0.9,0.5,0.3,0,0,0,0,0,1,0.27,0,0.27,1,0.15,"NoV",0.458557366582524,0.0398978752435592,1,0.332075325580115,0.033506906805455,1,0.442633952940085,0.0371398107875956,0.998,0.458570545469979,0.0399192613553713,1,-0.00216847694619119,0.0347986237831546,0.046,0.332070685040884,0.033524296031259,1,0.442634367705589,0.037153353856003,0.998,-0.00188523005407834,0.0320798720574463,0.0429999999999999,0.0426487949830151,0.0349667455955656,0.0406131655801128,0.0426553763324599,0.0348673485449936,0.0350055345875006,0.0406463996253834,0.0323414591201646,0.158557366582524,0.0320753255801154,0.158570545469979,0.0320706850408839,"sim","HC1","t",3,1000,1000,314
0.35,0.1,0.5,0.3,0,0,0,0,0,1,0.035,0,0.035,1,0.175,"NoV",0.483708240551735,0.0412000332994531,1,0.482000924905498,0.0411045495302612,1,0.0471018314963712,0.0348669343643429,0.29,0.48378748997852,0.0412070362828722,1,0.000850574362477079,0.034248520051839,0.056,0.482083700974901,0.0411111454303578,1,0.0471000794044604,0.0348863059867196,0.292,0.000794860574013587,0.034241096810316,0.06,0.0477869793449079,0.0476187704406443,0.0372107467282359,0.0478011528140885,0.034435632930655,0.0476302792624038,0.0372832147852087,0.0344681450295232,0.183708240551735,0.182000924905498,0.18378748997852,0.182083700974901,"sim","HC1","t",3,1000,1000,314
0.35,0.3,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.175,"NoV",0.486513406945708,0.0410008724845578,1,0.47147089212968,0.0401987043904352,1,0.13809870927578,0.0384867539036289,0.922,0.486491802161937,0.040996546623457,1,-6.09882209865123e-05,0.0345633340847159,0.043,0.4714465294571,0.040194635346097,1,0.138111909047499,0.0385051652675409,0.926,0.000112602064543586,0.0343094214891935,0.046,0.0473980894870963,0.0462457142466068,0.0420724669717854,0.0473514971464108,0.0338053653673936,0.0461977518283907,0.0420878752542369,0.0335741006056208,0.186513406945709,0.17147089212968,0.186491802161937,0.1714465294571,"sim","HC1","t",3,1000,1000,314
0.35,0.5,0.5,0.3,0,0,0,0,0,1,0.175,0,0.175,1,0.175,"NoV",0.481629664908957,0.0410345529791358,1,0.439458758549605,0.0387295630147323,1,0.23346795111686,0.0423126444272835,0.988,0.48160913617458,0.0410326381864186,1,-0.00161420846552267,0.0343130994979044,0.049,0.439430815629853,0.0387328533402515,1,0.233504576761812,0.0423247594063939,0.988,-0.00160376658298848,0.0335693658627233,0.0509999999999999,0.047250201086893,0.0433705430627991,0.0486228527613188,0.0472810149043167,0.0344896234530149,0.0433872501078749,0.0486230280837884,0.0340149473454893,0.181629664908957,0.139458758549605,0.18160913617458,0.139430815629853,"sim","HC1","t",3,1000,1000,314
0.35,0.7,0.5,0.3,0,0,0,0,0,1,0.245,0,0.245,1,0.175,"NoV",0.484674887259908,0.0409134017713451,1,0.398969021699363,0.036959207531442,1,0.33319352368554,0.043219724363119,0.991,0.484756456229621,0.0409244184097477,1,-0.00129923018493441,0.0342343842612795,0.049,0.399049398213457,0.0369758947490831,1,0.333170251460375,0.0432199960538505,0.991,-0.000791371413044977,0.0326809715307336,0.04,0.04585824027387,0.0396185163436905,0.0535539144648305,0.0458726526880823,0.0342421318832592,0.0396382631382882,0.0536107610903591,0.0326426810522908,0.184674887259908,0.0989690216993633,0.184756456229621,0.099049398213457,"sim","HC1","t",3,1000,1000,314
0.35,0.9,0.5,0.3,0,0,0,0,0,1,0.315,0,0.315,1,0.175,"NoV",0.483607061750943,0.0410151117220624,1,0.338188221011692,0.034271320911048,1,0.441270972750844,0.0374469048743976,0.999,0.483639163799459,0.0410243563009925,1,0.00179703111548468,0.034236031482867,0.037,0.338210340975078,0.0342937537789466,1,0.441267356138717,0.037463661186652,0.999,0.00149092881895698,0.0315720781331362,0.0409999999999999,0.0488504854523422,0.0367052228857581,0.0406676891241971,0.048830020460998,0.0333837264799322,0.0367157958280243,0.0406768659025749,0.0306709983557058,0.183607061750943,0.0381882210116922,0.183639163799459,0.0382103409750779,"sim","HC1","t",3,1000,1000,314
0.4,0.1,0.5,0.3,0,0,0,0,0,1,0.04,0,0.04,1,0.2,"NoV",0.507064046001345,0.0421057029102788,1,0.505167689357289,0.042026051946028,1,0.0449490501629958,0.0346832486921805,0.268,0.507068848516724,0.0421205460630763,1,-0.00138761344435745,0.0346334330112644,0.0500000000000001,0.505172091545626,0.0420406224105069,1,0.0449559349120834,0.0346875341195419,0.27,-0.00141107999126835,0.0346170915391449,0.048,0.0482101880136728,0.0479700380544115,0.0353597601674844,0.0482248762474253,0.0354154917104729,0.0479824802909091,0.0353016229756843,0.0353499227357532,0.207064046001345,0.205167689357289,0.207068848516724,0.205172091545626,"sim","HC1","t",3,1000,1000,314
0.4,0.3,0.5,0.3,0,0,0,0,0,1,0.12,0,0.12,1,0.2,"NoV",0.509371080784026,0.0418116002070713,1,0.49273016805726,0.0409884154728065,1,0.134482674704078,0.0380037666262099,0.914,0.509381352814472,0.0418229728846161,1,0.000754144516098823,0.0340438731967729,0.049,0.492745737967905,0.0410007124541881,1,0.134465829766061,0.0380079745015789,0.91,0.000742312614234042,0.0338163046841483,0.05,0.0496757645160282,0.0484537821758622,0.0431773540361987,0.0496490525165794,0.0349001138296471,0.04842383343084,0.0431186863762667,0.0344970737299027,0.209371080784026,0.19273016805726,0.209381352814472,0.192745737967905,"sim","HC1","t",3,1000,1000,314
