"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","a2_rule","a2_chosen","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.8,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.56,0.612207740663249,0,0,1,0.15,0.15,0.2,0.2,0.5,0.14,0.56,0.7,0.2,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.8,"max_feasible_given_X",0.914722181384559,0.380521110608628,0.0337974259718224,1,0.210574702401103,0.0478364032599313,0.994,0.231848965123235,0.0467042768343409,1,0.932572174161307,0.0940919090426127,1,-0.576382490527605,0.091944888011683,1,0.728259361974637,0.109222411392462,1,0.172017343469372,0.0474750096511102,0.956,-0.494702745734818,0.0941355022754007,0.999,0.0337600009146244,0.0472510991776763,0.0474884883145493,0.0958800038594766,0.0935280096975879,0.108820345045165,0.0478875519670802,0.0951336917313543,0.0805211106086277,-0.0894252975988969,0.632572174161307,0.428259361974637,"sim","classical","norm",NA,1000,1000,314
0.85,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.42,0.650470724454702,0,0,1,0.15,0.15,0.2,0.2,0.5,0.105,0.595,0.7,0.15,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.85,"max_feasible_given_X",0.914722181384559,0.380432288763834,0.0337823638585111,1,0.274998991960257,0.0482309209695364,1,0.143582882654476,0.047068615135005,0.861,0.935434119577251,0.0940172413840969,1,-0.579518519550932,0.0918584270431335,1,0.828230832603351,0.102449379983126,1,0.120339514499729,0.0463947803830961,0.736,-0.559849305669506,0.0919101858288264,1,0.0339680386303683,0.0461831939794579,0.0453862726175505,0.0933661074399965,0.0902004689614982,0.099866118648697,0.0444737347124309,0.0900656853099496,0.0804322887638338,-0.0250010080397434,0.635434119577251,0.528230832603351,"sim","classical","norm",NA,1000,1000,314
0.9,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.28,0.688733708246156,0,0,1,0.15,0.15,0.2,0.2,0.5,0.07,0.63,0.7,0.1,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.9,"max_feasible_given_X",0.914722181384559,0.380722616101765,0.0337903666307218,1,0.338134447607209,0.0484133840887935,1,0.0580899833610278,0.0473117725933762,0.225,0.933255043441093,0.094244124645462,1,-0.576695688694653,0.0920826292306979,1,0.885850251354156,0.0980700648033263,1,0.0804131258343979,0.0465257075861439,0.393,-0.588750351572727,0.0922550030932365,1,0.033528392643018,0.0471429123420848,0.0455289007679236,0.0959008695754464,0.0944193711939018,0.0984285815909349,0.0449736942985178,0.0947094714190248,0.0807226161017651,0.0381344476072094,0.633255043441093,0.585850251354156,"sim","classical","norm",NA,1000,1000,314
0.95,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0.14,0.726996692037609,0,0,1,0.15,0.15,0.2,0.2,0.5,0.035,0.665,0.7,0.0499999999999999,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.95,"max_feasible_given_X",0.914722181384559,0.378283437540676,0.0338060032345147,1,0.397595201738349,0.0484118965676118,1,-0.0262597222830371,0.0472870160568318,0.085,0.931898094082633,0.0942035599668226,1,-0.577732378783492,0.092019479298625,1,0.919397126122133,0.0952849562154315,1,0.0424314888751441,0.0476466767656824,0.138,-0.597047676057718,0.0945224492477869,1,0.0319674613557441,0.0472861294329631,0.0478705835631423,0.0931064265234179,0.0921240989728492,0.0938253502728709,0.0485446861528057,0.0951286179267358,0.078283437540676,0.0975952017383488,0.631898094082633,0.619397126122133,"sim","classical","norm",NA,1000,1000,314
1,0.3,"D2_highRho_unequalA2_WithX",0.7,0.25,0.914722181384559,0,0.3,0,0.765259675829062,0,0,1,0.15,0.15,0.2,0.2,0.5,0,0.7,0.7,0,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,1,"max_feasible_given_X",0.914722181384559,0.377498762993906,0.0337605595133096,1,0.460372991196215,0.0482514212004076,1,-0.113140444718154,0.0471811170457916,0.653,0.925272676947795,0.0941220671748001,1,-0.572077161033609,0.092001681725245,1,0.925252919246855,0.0941700035915091,1,-0.00194484222823085,0.0503576327694734,0.045,-0.570536211092896,0.0997963832717789,1,0.0336597593224767,0.04790807380684,0.0479091242802904,0.0951654917079365,0.0932094284598547,0.095171223861925,0.0506040554099081,0.0995999940790012,0.0774987629939059,0.160372991196215,0.625272676947795,0.625252919246855,"sim","classical","norm",NA,1000,1000,314
0.8,0.3,"D2_highRho_unequalA2_WithX",0.8,0.25,0.914722181384559,0,0.3,0.64,0.699665989329428,0,0,1,0.15,0.15,0.2,0.2,0.5,0.16,0.64,0.8,0.2,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.8,"max_feasible_given_X",0.914722181384559,0.377848550901455,0.0337657211441924,1,0.0480383634575238,0.0574982910702829,0.131,0.393270801580759,0.0561692354477871,1,0.93660666567832,0.09400294570052,1,-0.58359824544058,0.0918849913282447,1,0.519001637872947,0.122311918758638,0.983,0.308839502185601,0.0589517072614032,0.999,-0.417963843108748,0.096044231972581,0.992,0.0351695852396352,0.0563470486301024,0.0537774106351137,0.0960201773852892,0.0931109903007676,0.121728447366799,0.0562399173855013,0.0969478762047941,0.0778485509014553,-0.251961636542476,0.63660666567832,0.219001637872947,"sim","classical","norm",NA,1000,1000,314
0.85,0.3,"D2_highRho_unequalA2_WithX",0.8,0.25,0.914722181384559,0,0.3,0.48,0.743395113662517,0,0,1,0.15,0.15,0.2,0.2,0.5,0.12,0.68,0.8,0.15,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.85,"max_feasible_given_X",0.914722181384559,0.379277967149585,0.0337944968780874,1,0.174019638949898,0.0582499645366956,0.844,0.245281165290656,0.0569317444713084,0.985,0.933574776041622,0.0942265641054373,1,-0.578966005639822,0.0921207809414534,1,0.72251416893136,0.109679888525691,1,0.208019382216972,0.0563586824342757,0.952,-0.540331469639052,0.0921244683902101,1,0.0341618413333367,0.0597480925336749,0.0591355737096578,0.0942651065974411,0.0899434816786939,0.109169473894772,0.0576573252151105,0.0895321169595618,0.0792779671495846,-0.125980361050102,0.633574776041622,0.42251416893136,"sim","classical","norm",NA,1000,1000,314
0.9,0.3,"D2_highRho_unequalA2_WithX",0.8,0.25,0.914722181384559,0,0.3,0.32,0.787124237995606,0,0,1,0.15,0.15,0.2,0.2,0.5,0.08,0.72,0.8,0.1,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.9,"max_feasible_given_X",0.914722181384559,0.380521110608628,0.0337974259718224,1,0.295896684110435,0.0587560930123369,1,0.10105888613334,0.0574034270538104,0.432,0.932572174161307,0.0940919090426127,1,-0.576382490527605,0.091944888011683,1,0.838730738569896,0.101443870938291,1,0.138054228953685,0.056534206054426,0.684,-0.599115134963506,0.0921838154331211,1,0.0337600009146244,0.05705340773966,0.0567414908088591,0.0958800038594766,0.0935280096975879,0.101880938294253,0.056556762561545,0.0941120289705384,0.0805211106086277,-0.00410331588956486,0.632572174161307,0.538730738569896,"sim","classical","norm",NA,1000,1000,314
0.95,0.3,"D2_highRho_unequalA2_WithX",0.8,0.25,0.914722181384559,0,0.3,0.16,0.830853362328696,0,0,1,0.15,0.15,0.2,0.2,0.5,0.04,0.76,0.8,0.0499999999999999,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,0.95,"max_feasible_given_X",0.914722181384559,0.380432288763834,0.0337823638585111,1,0.419874584766493,0.0588289688860572,1,-0.047084700452455,0.0574184858751636,0.122,0.935434119577251,0.0940172413840969,1,-0.579518519550932,0.0918584270431335,1,0.910227115675274,0.0961445523803548,1,0.0739035450622938,0.0594181276263113,0.237,-0.617933393823881,0.0969067610980445,1,0.0339680386303683,0.0573565494344965,0.0558183673565729,0.0933661074399965,0.0902004689614982,0.0949176864153482,0.057252228800748,0.0953495467098072,0.0804322887638338,0.119874584766493,0.635434119577251,0.610227115675274,"sim","classical","norm",NA,1000,1000,314
1,0.3,"D2_highRho_unequalA2_WithX",0.8,0.25,0.914722181384559,0,0.3,0,0.874582486661785,0,0,1,0.15,0.15,0.2,0.2,0.5,0,0.8,0.8,0,0.075,0.955,0.0785340314136126,0.118283330883074,0.634070747247891,1,"max_feasible_given_X",0.914722181384559,0.380722616101765,0.0337903666307218,1,0.540724921800626,0.0585286829795223,1,-0.190995856024054,0.0571978919483498,0.915,0.933255043441093,0.094244124645462,1,-0.576695688694653,0.0920826292306979,1,0.933283719613282,0.0942909315472023,1,-0.00208343975007622,0.0668828141256374,0.0390000000000002,-0.574908402625582,0.109171110629794,1,0.033528392643018,0.0568556879656925,0.055419225159354,0.0959008695754464,0.0944193711939018,0.0960206004010569,0.0652514182228973,0.111937148614624,0.0807226161017651,0.240724921800626,0.633255043441093,0.633283719613282,"sim","classical","norm",NA,1000,1000,314
