"design","rho_target","a1","a2","c1","c2","b1","b2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_target","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
"D1",0.1,0.408248290463863,3.72529029846191e-09,0.244948974278318,3.72529029846191e-09,0.3,0.3,0,0,0,1,0.1,1.38777878078145e-17,0.1,1,0.122474487139159,1.38777878078145e-16,0.429988667254079,0.0355628902019785,1,0.423097815938746,0.0354183956284286,1,0.065420830582127,0.0332322266845637,0.519,0.429945475541222,0.0355853150132454,1,-0.00121450958235429,0.032020104644988,0.033,0.42304955493726,0.0354418033327218,1,0.0654477434895245,0.0332594460391047,0.52,-0.00129251739369888,0.0319839631300945,0.036,0.0398194671434763,0.0393548089785655,0.0361638320101158,0.039906886143328,0.0313511466073327,0.0394378811979766,0.0361312034320255,0.0313084657259831,0.129988667254079,0.123097815938746,0.129945475541222,0.12304955493726,"sim","HC1","t",3,1000,1000,314
"D1",0.15,0.408248290463863,0.223606797749979,0.244948974278318,0.223606797749979,0.3,0.3,0,0,0,1,0.1,0.05,0.15,0.666666666666667,0.122474487139159,0.333333333333334,0.426979931351933,0.0351601344974334,1,0.417808704672832,0.0352625329888364,1,0.0587462872027964,0.0335010424636892,0.445,0.434037584052539,0.0366248694242082,1,-0.0298099618393399,0.0332717178494139,0.148,0.426537299925153,0.0365097546757446,1,0.067805862599046,0.0344171503095147,0.517,-0.0433129553811195,0.0339073626717453,0.26,0.0382465694197504,0.0383210402872102,0.0359855652735885,0.0403764714101437,0.0336080329303141,0.0401195689868659,0.0367952500148039,0.0340927981070075,0.126979931351933,0.117808704672832,0.134037584052539,0.126537299925154,"sim","HC1","t",3,1000,1000,314
"D1",0.2,0.408248290463863,0.316227766016838,0.244948974278318,0.316227766016838,0.3,0.3,0,0,0,1,0.1,0.1,0.2,0.5,0.122474487139159,0.5,0.429007255901416,0.0347131479387286,1,0.418520820994397,0.0351060543975389,1,0.0506820446535828,0.0336713120527811,0.345,0.44443364539083,0.0374405194642215,1,-0.0460630321983715,0.0345646812657372,0.283,0.436411146480185,0.0373365292808151,1,0.0687578472890008,0.0354248865999136,0.503,-0.0653289188071103,0.0357982400269267,0.475,0.0358892853628833,0.0357940717277014,0.0364237834891068,0.0395385768028441,0.0355722594984597,0.0389246604074595,0.0385752114398076,0.0368052243485309,0.129007255901416,0.118520820994397,0.14443364539083,0.136411146480185,"sim","HC1","t",3,1000,1000,314
"D1",0.25,0.408248290463863,0.387298334620742,0.244948974278318,0.387298334620742,0.3,0.3,0,0,0,1,0.1,0.15,0.25,0.4,0.122474487139159,0.6,0.426430127989443,0.0347433638408422,1,0.414490122677999,0.0356257848709305,1,0.0472009261010661,0.0340695267843525,0.286,0.449803683175654,0.0390513062509558,1,-0.0575022988798492,0.0356102015764582,0.383,0.440823211521722,0.0389035093730756,1,0.0738553827818343,0.0366444940677907,0.543,-0.0825405683203007,0.0375726430633514,0.604,0.0372715944966504,0.038243850280609,0.034866431454041,0.0432490409252465,0.0361910079170241,0.0429645970933114,0.0384996922068987,0.0385059956673291,0.126430127989443,0.114490122677999,0.149803683175654,0.140823211521722,"sim","HC1","t",3,1000,1000,314
"D1",0.3,0.408248290463863,0.447213595499958,0.244948974278318,0.447213595499958,0.3,0.3,0,0,0,1,0.1,0.2,0.3,0.333333333333333,0.122474487139159,0.666666666666667,0.426323248348698,0.0342030570610315,1,0.414047481580185,0.03566062500738,1,0.0401878397517254,0.0346980939270629,0.223,0.459263891596062,0.0397935026320349,1,-0.0700001862371101,0.0367653800608405,0.486,0.449540953508693,0.0396729590210197,1,0.0759543282210699,0.0380166979502756,0.536,-0.0996805538395517,0.0394904022479327,0.722,0.0368647716055621,0.0382241116456774,0.0375122689411905,0.0438319306088185,0.0371615596549289,0.0434883270962671,0.0424526370263197,0.0404489790880047,0.126323248348698,0.114047481580185,0.159263891596062,0.149540953508693,"sim","HC1","t",3,1000,1000,314
"D1",0.35,0.408248290463863,0.5,0.244948974278318,0.5,0.3,0.3,0,0,0,1,0.1,0.25,0.35,0.285714285714286,0.122474487139159,0.714285714285714,0.425403486070852,0.0337936844322667,1,0.412839237293492,0.0359259555597435,1,0.0352910407139701,0.0343939323794589,0.187,0.469820491628913,0.0411652058284704,1,-0.0852416293327929,0.0380240722042618,0.627,0.458522363143581,0.0410535528045713,1,0.0816432457761136,0.0381889843572325,0.578,-0.12045768590638,0.0411011086227769,0.816,0.035318776466458,0.0375053720650968,0.0357427643709823,0.0443743611073213,0.0398204361629202,0.0439668045577989,0.0410008307484448,0.0437263656980693,0.125403486070852,0.112839237293492,0.169820491628913,0.158522363143581,"sim","HC1","t",3,1000,1000,314
"D1",0.4,0.408248290463863,0.547722557505166,0.244948974278318,0.547722557505166,0.3,0.3,0,0,0,1,0.1,0.3,0.4,0.25,0.122474487139159,0.75,0.425573484345487,0.0340656129769143,1,0.41384286986372,0.0371646097832853,1,0.0295604000103653,0.0355154798478155,0.144,0.481998365838019,0.0434091958024534,1,-0.0990994761029928,0.0399691732446151,0.692,0.469450620564082,0.0433003834865727,1,0.0855652229219266,0.0401620555951821,0.569,-0.139174670372424,0.0437132766710211,0.865,0.0353691934495733,0.0393690048686621,0.0377266083829496,0.0488373221179513,0.0433690319987333,0.0485005478486349,0.0431910009356295,0.0471416296403615,0.125573484345487,0.11384286986372,0.181998365838019,0.169450620564082,"sim","HC1","t",3,1000,1000,314
"D1",0.45,0.408248290463863,0.591607978309962,0.244948974278318,0.591607978309962,0.3,0.3,0,0,0,1,0.1,0.35,0.45,0.222222222222222,0.122474487139159,0.777777777777778,0.422486393708734,0.0340715013501592,1,0.412133255933344,0.0379898949312067,1,0.02325888551981,0.0364037839293296,0.098,0.493206817325731,0.0450397520834389,1,-0.115736491933715,0.0419638478220455,0.771,0.478743532892553,0.0449823031008302,1,0.0908657392122291,0.0418267425363098,0.617,-0.16100616486402,0.0462829720206136,0.917,0.0355315545885022,0.0386229853777837,0.036331497949894,0.0494694041653441,0.0441857599099254,0.0486206196520987,0.0431983067146572,0.0485801303498206,0.122486393708734,0.112133255933344,0.193206817325731,0.178743532892553,"sim","HC1","t",3,1000,1000,314
"D1",0.5,0.408248290463863,0.632455532033676,0.244948974278318,0.632455532033676,0.3,0.3,0,0,0,1,0.1,0.4,0.5,0.2,0.122474487139159,0.8,0.424455907878028,0.0332806916709183,0.999,0.416870372143513,0.0384673409282904,0.998,0.0155621592975494,0.0374705723665255,0.0909999999999999,0.510157845216463,0.0467601490740124,0.998,-0.132002162114579,0.0441276321515369,0.854,0.494148233543952,0.0467433747662425,0.997,0.093315607645761,0.0434325212427351,0.584999999999999,-0.180766491497058,0.0488318045003419,0.946,0.0362222792752317,0.0430865095160361,0.0410019645021164,0.0538380869056766,0.0477402285327892,0.0541330078304396,0.0463391267898327,0.0506368666710128,0.124455907878028,0.116870372143513,0.210157845216463,0.194148233543952,"sim","HC1","t",3,1000,1000,314
"D1",0.55,0.408248290463863,0.670820393249937,0.244948974278318,0.670820393249937,0.3,0.3,0,0,0,1,0.1,0.45,0.55,0.181818181818182,0.122474487139159,0.818181818181818,0.42221532574374,0.0330456575006377,0.999,0.418734711489322,0.039792830270951,0.999,0.00694483617581395,0.0388245615607068,0.0660000000000001,0.531069814106326,0.0483732124837356,1,-0.158072280899956,0.0454688730613449,0.916,0.511999504735322,0.0484861178774433,1,0.102525205826996,0.0455928312615569,0.629,-0.214147238074532,0.0510797090955113,0.973,0.033245298871044,0.0415749578652233,0.0423655172424646,0.0531805273436275,0.0502363310566097,0.0530338442353566,0.0504967275302085,0.0558209040452666,0.12221532574374,0.118734711489322,0.231069814106326,0.211999504735322,"sim","HC1","t",3,1000,1000,314
"D1",0.6,0.408248290463863,0.707106781186548,0.244948974278318,0.707106781186548,0.3,0.3,0,0,0,1,0.1,0.5,0.6,0.166666666666667,0.122474487139159,0.833333333333333,0.424548434758491,0.0327978078582882,1,0.427417250202413,0.0418073314370846,1,-0.00391142377517906,0.0410755653240443,0.054,0.553980924676979,0.0517818531168294,1,-0.179510646977635,0.0489477743660867,0.934,0.532621848327769,0.0520906202341885,1,0.104730318592312,0.0483751517334723,0.585,-0.238404325010214,0.0549459723899928,0.976,0.0345655219963546,0.0443086997785768,0.0442640060406814,0.0585039285351925,0.0542542779087855,0.0581416184056236,0.0521700666662016,0.0597225526470795,0.124548434758491,0.127417250202413,0.253980924676979,0.232621848327769,"sim","HC1","t",3,1000,1000,314
"D1",0.65,0.408248290463863,0.741619848709566,0.244948974278318,0.741619848709566,0.3,0.3,0,0,0,1,0.1,0.55,0.65,0.153846153846154,0.122474487139159,0.846153846153846,0.423571542537528,0.0328338083263419,1,0.432953492156792,0.043510431924142,1,-0.01384835250815,0.0428195680336171,0.0580000000000001,0.581025204706316,0.053291460983189,1,-0.208646879953238,0.0509057121312347,0.961,0.555779650669552,0.0538273603669556,1,0.111414496079544,0.0511905219798922,0.598,-0.272634799476194,0.0576753049411789,0.989,0.034218446209855,0.0452572772067218,0.0442988100440507,0.0590227695641169,0.0548867547471621,0.0592630028604993,0.0552989440050848,0.0615067452915201,0.123571542537528,0.132953492156792,0.281025204706316,0.255779650669552,"sim","HC1","t",3,1000,1000,314
"D1",0.7,0.408248290463863,0.774596669241483,0.244948974278318,0.774596669241483,0.3,0.3,0,0,0,1,0.1,0.6,0.7,0.142857142857143,0.122474487139159,0.857142857142857,0.423191592108528,0.0324935213596491,1,0.44277664608067,0.0462589031312531,1,-0.0273149222775438,0.0455575798875497,0.094,0.614948543259827,0.0571569981167001,1,-0.244475938851078,0.054619144794888,0.972,0.585275310721488,0.0582213109523241,1,0.117379061085382,0.0536484100880902,0.601,-0.312410552498534,0.060853413436243,0.992,0.0327064458788151,0.0496892421780787,0.0462881880735926,0.0650078957177315,0.0598491420102259,0.0659831521236393,0.0560655669122371,0.0646124050105071,0.123191592108528,0.14277664608067,0.314948543259827,0.285275310721488,"sim","HC1","t",3,1000,1000,314
"D1",0.75,0.408248290463863,0.806225774829855,0.244948974278318,0.806225774829855,0.3,0.3,0,0,0,1,0.1,0.65,0.75,0.133333333333333,0.122474487139159,0.866666666666667,0.423868102517479,0.0326207879242096,1,0.45938559354262,0.0503690116617306,1,-0.0464888890611116,0.0499399997833789,0.175,0.661245951069895,0.0605830117901307,1,-0.291192086639002,0.0582485013792856,0.981,0.625230649870963,0.0625107134666661,1,0.123477513958577,0.0592261416839265,0.577,-0.361766098189981,0.0653844468720213,0.993,0.033765627982588,0.0544283306165902,0.0542200134809131,0.067229770637776,0.062476564277552,0.0692320981830992,0.0653264222216726,0.0678103825065772,0.123868102517479,0.15938559354262,0.361245951069895,0.325230649870963,"sim","HC1","t",3,1000,1000,314
"D1",0.8,0.408248290463863,0.836660026534076,0.244948974278318,0.836660026534076,0.3,0.3,0,0,0,1,0.1,0.7,0.8,0.125,0.122474487139159,0.875,0.420511340693735,0.032644673862788,1,0.48195565149007,0.0563544517681672,0.999,-0.0762680086286712,0.0560093345098616,0.28,0.713815396617566,0.0649049400758438,1,-0.348224415813565,0.0628254880856358,0.987,0.673351760936486,0.0687974259557879,1,0.120358232534561,0.0650213307719519,0.499,-0.415036915241642,0.0698923331206008,0.998,0.0329461423255956,0.067863090701202,0.0708886238391299,0.0727734120402634,0.067870741373688,0.0806881842557216,0.0825319448636252,0.0731625753581323,0.120511340693735,0.181955651490071,0.413815396617566,0.373351760936486,"sim","HC1","t",3,1000,1000,314
"D1",0.85,0.408248290463863,0.866025403784439,0.244948974278318,0.866025403784439,0.3,0.3,0,0,0,1,0.1,0.75,0.85,0.117647058823529,0.122474487139159,0.88235294117647,0.421829186905182,0.0320058096536272,1,0.521306128281456,0.0627173631797978,1,-0.11651615833896,0.0627529644885121,0.496,0.795415994133733,0.067860716090784,1,-0.429638081433072,0.0664152381857439,0.995,0.746517321606344,0.0737912242637205,1,0.122462334712266,0.0708708915769172,0.423,-0.493376139404349,0.0735684915177008,0.999,0.0336966756389512,0.0635839758694888,0.0629366979819932,0.0718700286463891,0.0679761290680743,0.0774687634617888,0.075240170846688,0.0740443738410799,0.121829186905182,0.221306128281456,0.495415994133733,0.446517321606344,"sim","HC1","t",3,1000,1000,314
"D1",0.9,0.408248290463863,0.894427190999916,0.244948974278318,0.894427190999916,0.3,0.3,0,0,0,1,0.1,0.8,0.9,0.111111111111111,0.122474487139159,0.888888888888889,0.423922524152861,0.0324631477419942,1,0.604986682534396,0.0775630395393997,1,-0.200932917721542,0.0776669120260981,0.746,0.917296961846604,0.0731132910271096,1,-0.551331289266788,0.0724453513875796,0.995,0.873805297985697,0.0850120237329945,0.999,0.087513387352144,0.0821992283252242,0.197,-0.590743917341819,0.079764218604248,0.997,0.0326066940233303,0.0814965669050183,0.0825935353275643,0.0761896150198931,0.0774651464424365,0.0893002425840144,0.0866386191822371,0.0833553753757212,0.123922524152861,0.304986682534396,0.617296961846604,0.573805297985697,"sim","HC1","t",3,1000,1000,314
